prescription_id,image_id,gt_count,p0_tp,p0_fp,p0_fn,p0_precision,p0_recall,p0_f1,p0_confirmed,p1_tp,p1_fp,p1_fn,p1_precision,p1_recall,p1_f1,p1_confirmed,p2_tp,p2_fp,p2_fn,p2_precision,p2_recall,p2_f1,p2_confirmed,p3_tp,p3_fp,p3_fn,p3_precision,p3_recall,p3_f1,p3_confirmed
RX_001,IMG_20260209_180410,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,3,1,12,0.75,0.2,0.3158,1
RX_001,IMG_20260209_180412,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,2,11,0.6667,0.2667,0.381,1,3,1,12,0.75,0.2,0.3158,1
RX_001,IMG_20260209_180415,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,2,0,13,1.0,0.1333,0.2353,0,3,0,12,1.0,0.2,0.3333,0
RX_001,IMG_20260209_180420,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,2,11,0.6667,0.2667,0.381,1,3,0,12,1.0,0.2,0.3333,1
RX_001,IMG_20260209_180421,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,3,2,12,0.6,0.2,0.3,1,3,0,12,1.0,0.2,0.3333,1
RX_001,IMG_20260209_180423,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,5,1,10,0.8333,0.3333,0.4762,0,4,0,11,1.0,0.2667,0.4211,1
RX_001,IMG_20260209_180425,15,2,1,13,0.6667,0.1333,0.2222,0,2,1,13,0.6667,0.1333,0.2222,0,2,1,13,0.6667,0.1333,0.2222,0,2,0,13,1.0,0.1333,0.2353,1
RX_001,IMG_20260209_180428,15,3,1,12,0.75,0.2,0.3158,0,3,1,12,0.75,0.2,0.3158,0,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0
RX_001,IMG_20260209_180432,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,1,4,0,11,1.0,0.2667,0.4211,1
RX_001,IMG_20260209_180434,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,4,0,11,1.0,0.2667,0.4211,1,4,0,11,1.0,0.2667,0.4211,1
RX_001,IMG_20260209_180436,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,1,10,0.8333,0.3333,0.4762,2,4,0,11,1.0,0.2667,0.4211,2
RX_001,IMG_20260209_180438,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,1,2,0,13,1.0,0.1333,0.2353,0
RX_001,IMG_20260209_180442,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,1,10,0.8333,0.3333,0.4762,2,4,0,11,1.0,0.2667,0.4211,1
RX_001,IMG_20260209_180445,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,1,10,0.8333,0.3333,0.4762,2,4,0,11,1.0,0.2667,0.4211,1
RX_001,IMG_20260209_180453,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,1,10,0.8333,0.3333,0.4762,2,3,0,12,1.0,0.2,0.3333,0
RX_001,IMG_20260209_180455,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,1,10,0.8333,0.3333,0.4762,2,4,0,11,1.0,0.2667,0.4211,1
RX_001,IMG_20260209_180457,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,1,10,0.8333,0.3333,0.4762,1,3,0,12,1.0,0.2,0.3333,0
RX_001,IMG_20260209_180500,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,4,0,11,1.0,0.2667,0.4211,2,3,0,12,1.0,0.2,0.3333,1
RX_001,IMG_20260209_180502,15,2,0,13,1.0,0.1333,0.2353,0,2,0,13,1.0,0.1333,0.2353,0,2,1,13,0.6667,0.1333,0.2222,0,2,1,13,0.6667,0.1333,0.2222,0
RX_001,IMG_20260209_180505,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,2,3,0,12,1.0,0.2,0.3333,1
RX_001,IMG_20260209_180511,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,4,5,0,10,1.0,0.3333,0.5,4
RX_001,IMG_20260209_180513,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,2,2,1,13,0.6667,0.1333,0.2222,1
RX_001,IMG_20260209_180517,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,2,11,0.6667,0.2667,0.381,1,3,0,12,1.0,0.2,0.3333,0
RX_001,IMG_20260209_180525,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,1,1,14,0.5,0.0667,0.1176,0,1,1,14,0.5,0.0667,0.1176,0
RX_001,IMG_20260209_180527,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,2,4,0,11,1.0,0.2667,0.4211,3
RX_001,IMG_20260209_180530,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,3,5,0,10,1.0,0.3333,0.5,3
RX_001,IMG_20260209_180537,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,1,10,0.8333,0.3333,0.4762,1,3,0,12,1.0,0.2,0.3333,2
